node1,node2
양양남대천,강릉남대천
양양남대천,인북천
양양남대천,소양강
강릉남대천,삼척오십천
강릉남대천,남한강상류
삼척오십천,남한강상류
남한강상류,소양강
남한강상류,충주댐
남한강상류,평창강
소양강,인북천
소양강,춘천댐
소양강,홍천강
소양강,평창강
평창강,홍천강
평창강,섬강
평창강,충주댐
충주댐,섬강
충주댐,충주댐하류
충주댐,달천
달천,충주댐하류
달천,남한강하류
충주댐하류,섬강
충주댐하류,남한강하류
섬강,홍천강
섬강,남한강하류
인북천,평화의댐
인북천,춘천댐
평화의댐,춘천댐
평화의댐,한탄강
춘천댐,한탄강
춘천댐,의암댐
춘천댐,홍천강
홍천강,의암댐
홍천강,남한강하류
의암댐,한탄강
의암댐,청평댐
임진강상류,임진강하류
임진강하류,한탄강
임진강하류,한강고양
한강서해,서해
한강서해,한강고양
한강서해,시화호
시화호,안성천
시화호,한강서울
시화호,한강고양
한강고양,한탄강
한강고양,한강서울
안성천,한강서울
안성천,경안천
안성천,남한강하류
한탄강,한강서울
한탄강,한강잠실
한탄강,청평댐
한강서울,한강잠실
한강서울,경안천
경안천,팔당댐
경안천,남한강하류
남한강하류,팔당댐
남한강하류,청평댐
팔당댐,청평댐
팔당댐,한강잠실
한강잠실,청평댐
대호방조제,서해
대호방조제,부남방조제
대호방조제,삽교천
부남방조제,서해
부남방조제,삽교천
부남방조제,금강서해
금강서해,서해
금강서해,금강공주
금강서해,금강하구언
금강하구언,금강공주
금강하구언,논산천
금강하구언,만경강
금강하구언,새만금(직소천)
새만금(직소천),만경강
새만금(직소천),동진강
동진강,만경강
만경강,논산천
만경강,용담댐
용담댐,용담댐하류
용담댐,무주남대천
용담댐하류,무주남대천
용담댐하류,영동천
무주남대천,영동천
영동천,논산천
영동천,갑천
영동천,대청댐상류
영동천,초강
논산천,갑천
논산천,금강공주
초강,대청댐상류
초강,보청천
대청댐상류,보청천
대청댐상류,대청댐
보청천,대청댐
대청댐,갑천
대청댐,대청댐하류
갑천,금강공주
대청댐하류,미호천
대청댐하류,금강공주
금강공주,삽교천
금강공주,미호천
삽교천,미호천
왕피천,안동댐
왕피천,임하댐
왕피천,영덕오십천
안동댐,임하댐
안동댐,안동댐하류
안동댐,내성천
내성천,안동댐하류
내성천,낙동상주
내성천,영강
영강,병성천
병성천,낙동상주
병성천,구미보(낙동구미)
병성천,감천
낙동상주,안동댐하류
낙동상주,구미보(낙동구미)
구미보(낙동구미),감천
구미보(낙동구미),강정고령보(낙동왜관)
구미보(낙동구미),위천
안동댐하류,임하댐
임하댐,영덕오십천
임하댐,금호강
영덕오십천,대종천
영덕오십천,형산강
대종천,형산강
대종천,태화강
태화강,형산강
태화강,밀양강
태화강,낙동강하구언
태화강,회야강
회야강,수영강
회야강,낙동강하구언
수영강,남해동부
수영강,낙동강하구언
형산강,금호강
위천,강정고령보(낙동왜관)
위천,금호강
금호강,강정고령보(낙동왜관)
금호강,밀양강
강정고령보(낙동왜관),감천
강정고령보(낙동왜관),창녕합천보(낙동고령)
감천,합천댐
감천,회천
합천댐,회천
합천댐,남강댐
남강댐,황강
남강댐,남강
남강,가화천
남강,낙동강남해
남강,낙동밀양
남강,낙동창녕
낙동창녕,황강
낙동창녕,창녕합천보(낙동고령)
낙동창녕,낙동밀양
황강,회천
황강,창녕합천보(낙동고령)
회천,창녕합천보(낙동고령)
창녕합천보(낙동고령),낙동밀양
창녕합천보(낙동고령),밀양강
밀양강,낙동밀양
낙동밀양,낙동강하구언
밀양강,낙동강하구언
낙동밀양,낙동강남해
낙동강하구언,낙동강남해
낙동강남해,남해동부
낙동강남해,거제도
낙동강남해,가화천
가화천,거제도
거제도,남해동부
진도,남해서부
진도,완도
진도,신안군
완도,남해서부
완도,섬진강서남해
완도,탐진강
완도,금산면
금산면,남해서부
금산면,여수시
금산면,이사천
금산면,주암댐
여수시,남해서부
여수시,남해도
여수시,수어천
남해도,남해서부
남해도,남해동부
남해도,수어천
수어천,이사천
수어천,섬진강하류
이사천,섬진강하류
이사천,보성강
이사천,주암댐
섬진강하류,요천
섬진강하류,섬진곡성
섬진강하류,보성강
보성강,섬진곡성
보성강,주암댐
섬진곡성,요천
섬진곡성,순창
요천,오수천
오수천,섬진강댐
오수천,섬진강댐하류
섬진강댐,섬진강댐하류
섬진강댐하류,순창
섬진강댐하류,영산강상류
순창,영산강상류
섬진강서남해,탐진강
신안군,서해
신안군,와탄천
신안군,영산강하류
신안군,영산강하구언
영산강하구언,영암천
영산강하구언,영산강하류
영암천,탐진강
영암천,영산강중류(죽산보)
영암천,영산강하류
탐진강,영산강중류(죽산보)
탐진강,지석천
탐진강,주암댐
주암댐,지석천
주암댐,영산강상류
와탄천,영산강하류
와탄천,고막원천
와탄천,주진천
주진천,황룡강
황룡강,고막원천
황룡강,영산강중류(죽산보)
황룡강,영산강상류
고막원천,영산강하류
고막원천,영산강중류(죽산보)
영산강하류,영산강중류(죽산보)
영산강중류(죽산보),영산강상류
영산강상류,주암댐
제주남해,남해서부
제주서해,남해서부
제주북해,남해서부
